car_make,car_model,car_year,car_vin
Honda,CR-V,2009,SCBBR93W978853613
Chevrolet,Express 2500,2011,5N1AN0NU7CC380583
Mazda,Mazda5,2009,WBAKB4C57BC681824
Oldsmobile,LSS,1999,5J8TB4H73GL232456
Acura,MDX,2003,SCFAB02A87G360009
Saturn,Relay,2006,1G4HP54K05U038069
Chevrolet,Caprice Classic,1994,1C3CC4FB2AN812350
Mazda,B2600,1989,WAUXU64BX3N971092
Volkswagen,Eos,2011,5GALRBED7AJ168273
Lotus,Esprit,1986,SCBLE37G15C574716
Volkswagen,Touareg,2007,1GT010CG7CF090724
Plymouth,Breeze,1996,SAJWA8JH8EM371015
Lexus,GS,2002,JA32U2FU7FU541467
Mitsubishi,Galant,2005,WAUAH78EX6A540686
Volkswagen,rio,1999,KMHTC6AD5EU412421
Eagle,Talon,1991,JHMZF1C63FS025174
Scion,FR-S,2013,WBAPH575X9N263938
Hyundai,Genesis,2010,WP1AA2A25CL107752
Volvo,XC70,2007,1G6KY54973U728521
Pontiac,Vibe,2005,1G4GF5E30DF962617
Chevrolet,Caprice,1996,KMHHT6KD5AU877828
Audi,S6,2007,1G6DJ5E36C0060824
